order_id,customer_id,order_date,status,region_code
1,6.0,2025-05-01 09:16:57,DELIVERED,NORTH
2,244.0,2024-09-16 08:12:42,CANCELLED,SOUTH
3,,2026-05-28 07:31:49,PLACED,SOUTH
4,86.0,2025-08-08 20:43:46,SHIPPED,SOUTH
5,398.0,2025-05-02 16:39:38,PLACED,SOUTH
6,25.0,2024-10-08 17:59:16,CANCELLED,NORTH
7,27.0,2026-04-28 07:16:33,PLACED,NORTH
8,,2026-02-13 01:44:53,PLACED,SOUTH
9,438.0,2025-06-19 23:21:43,CANCELLED,EAST
10,261.0,2026-01-04 09:15:30,CANCELLED,EAST
11,11.0,08-09-1989,DELIVERED,WEST
12,407.0,2025-06-07 17:22:05,DELIVERED,EAST
13,353.0,2026-02-16 02:32:46,SHIPPED,WEST
14,76.0,2026-05-12 07:12:26,DELIVERED,NORTH
15,,2024-11-25 01:02:03,PLACED,SOUTH
16,341.0,2024-11-19 00:32:28,RETURNED,NORTH
17,168.0,2025-04-05 22:22:14,PLACED,EAST
18,423.0,2026-06-21 13:35:31,RETURNED,NORTH
19,141.0,2025-12-15 04:05:52,PLACED,SOUTH
20,110.0,2025-06-09 00:17:50,PLACED,EAST
21,64.0,2026-06-02 20:06:02,SHIPPED,SOUTH
22,135.0,2025-03-14 08:51:11,PLACED,SOUTH
23,429.0,2026-04-02 20:26:21,SHIPPED,SOUTH
24,102.0,2026-06-12 21:10:29,RETURNED,WEST
25,371.0,2025-08-11 05:47:48,SHIPPED,WEST
26,484.0,2024-07-27 00:55:15,PLACED,EAST
27,,2026-01-22 10:23:49,RETURNED,EAST
28,237.0,06-06-1988,RETURNED,SOUTH
29,118.0,21-08-2014,SHIPPED,NORTH
30,4.0,2026-03-04 01:27:50,DELIVERED,SOUTH
31,486.0,2025-05-21 10:25:55,DELIVERED,NORTH
32,424.0,2026-01-02 23:47:06,PLACED,SOUTH
33,110.0,05-11-2019,DELIVERED,EAST
34,,2024-09-05 20:24:10,PLACED,EAST
35,,2025-01-24 00:38:41,SHIPPED,EAST
36,436.0,2024-11-15 07:05:58,RETURNED,WEST
37,378.0,2024-11-15 18:36:02,SHIPPED,WEST
38,220.0,2025-11-30 20:27:33,PLACED,NORTH
39,313.0,2025-12-28 02:29:57,PLACED,EAST
40,321.0,2025-09-24 15:55:02,PLACED,EAST
41,423.0,2026-06-24 11:20:20,RETURNED,NORTH
42,13.0,2025-02-04 19:27:55,DELIVERED,WEST
43,71.0,19-05-2023,SHIPPED,NORTH
44,334.0,2026-03-20 08:35:05,DELIVERED,EAST
45,427.0,2025-03-03 19:31:03,CANCELLED,EAST
46,412.0,2025-03-04 22:06:21,CANCELLED,WEST
47,277.0,2025-07-31 16:48:25,CANCELLED,EAST
48,17.0,2026-02-28 01:39:19,RETURNED,NORTH
49,423.0,2024-11-05 10:34:06,SHIPPED,EAST
50,,2024-12-19 01:55:19,SHIPPED,EAST
51,440.0,2025-10-08 20:20:34,SHIPPED,NORTH
52,254.0,2025-08-06 13:37:10,RETURNED,WEST
53,45.0,2024-09-26 14:21:26,PLACED,NORTH
54,391.0,12-03-2015,CANCELLED,NORTH
55,276.0,2026-03-04 13:14:43,RETURNED,EAST
56,216.0,2024-09-24 10:22:54,PLACED,NORTH
57,42.0,2024-08-02 14:35:02,CANCELLED,EAST
58,483.0,2025-09-10 19:07:50,CANCELLED,NORTH
59,499.0,2025-06-03 01:47:15,RETURNED,EAST
60,400.0,2026-03-30 09:41:23,DELIVERED,EAST
61,433.0,2025-03-21 02:01:43,DELIVERED,EAST
62,350.0,2024-11-22 10:12:52,CANCELLED,WEST
63,328.0,2026-01-21 21:20:15,RETURNED,NORTH
64,63.0,2025-11-01 19:33:55,DELIVERED,NORTH
65,151.0,2025-12-26 18:12:29,PLACED,SOUTH
66,329.0,2026-05-07 16:01:49,DELIVERED,WEST
67,361.0,22-01-1974,PLACED,NORTH
68,344.0,2026-03-15 12:00:57,CANCELLED,NORTH
69,369.0,20-10-1997,DELIVERED,WEST
70,404.0,2026-04-28 22:36:30,PLACED,EAST
71,382.0,2025-05-28 03:27:46,CANCELLED,SOUTH
72,379.0,2025-01-09 16:09:02,RETURNED,EAST
73,34.0,2026-03-30 18:43:10,DELIVERED,WEST
74,188.0,2024-10-20 13:17:08,DELIVERED,WEST
75,139.0,2025-09-23 23:31:00,PLACED,EAST
76,73.0,2025-10-22 13:01:53,SHIPPED,WEST
77,210.0,2026-03-12 05:31:36,DELIVERED,WEST
78,305.0,2024-09-21 10:14:16,DELIVERED,SOUTH
79,112.0,2026-01-13 15:17:47,RETURNED,SOUTH
80,251.0,2025-06-06 18:32:39,RETURNED,SOUTH
81,287.0,2026-06-25 08:37:12,SHIPPED,WEST
82,251.0,2025-12-20 00:16:25,RETURNED,NORTH
83,184.0,2024-09-16 14:41:58,PLACED,WEST
84,238.0,2026-03-22 07:24:11,SHIPPED,NORTH
85,277.0,2026-05-15 17:02:26,CANCELLED,NORTH
86,135.0,25-04-2013,RETURNED,NORTH
87,354.0,2026-03-19 00:11:12,PLACED,WEST
88,202.0,2025-06-19 16:51:32,CANCELLED,EAST
89,461.0,2025-08-03 16:41:05,RETURNED,EAST
